nodenumber,    x-coordinate,    y-coordinate,  total-pressure
       386, 2.840000000E-05,-2.490000000E-05, 2.614414694E-04
       387, 2.860000000E-05,-2.490000000E-05, 2.616110150E-04
       388, 2.880000000E-05,-2.490000000E-05, 2.617846504E-04
       389, 2.900000000E-05,-2.490000000E-05, 2.619605861E-04
       390, 2.920000000E-05,-2.490000000E-05, 2.621358131E-04
       391, 2.940000000E-05,-2.490000000E-05, 2.623103492E-04
       392, 2.960000000E-05,-2.490000000E-05, 2.624875091E-04
       393, 2.980000000E-05,-2.490000000E-05, 2.626693180E-04
       394, 3.000000000E-05,-2.490000000E-05, 2.628541563E-04
       395, 3.020000000E-05,-2.490000000E-05, 2.630395015E-04
       396, 3.040000000E-05,-2.490000000E-05, 2.632259834E-04
       397, 3.060000000E-05,-2.490000000E-05, 2.634174699E-04
       398, 3.080000000E-05,-2.490000000E-05, 2.636164621E-04
       399, 3.100000000E-05,-2.490000000E-05, 2.638217213E-04
       400, 3.120000000E-05,-2.490000000E-05, 2.640311414E-04
       401, 3.140000000E-05,-2.490000000E-05, 2.642454305E-04
       402, 3.160000000E-05,-2.490000000E-05, 2.644678871E-04
       403, 3.180000000E-05,-2.490000000E-05, 2.646998659E-04
       404, 3.200000000E-05,-2.490000000E-05, 2.649385969E-04
       405, 3.220000000E-05,-2.490000000E-05, 2.651801263E-04
       406, 3.240000000E-05,-2.490000000E-05, 2.654222562E-04
       407, 3.260000000E-05,-2.490000000E-05, 2.656644882E-04
       408, 3.280000000E-05,-2.490000000E-05, 2.659053875E-04
       409, 3.300000000E-05,-2.490000000E-05, 2.661421735E-04
       410, 3.320000000E-05,-2.490000000E-05, 2.663720211E-04
       411, 3.340000000E-05,-2.490000000E-05, 2.665924537E-04
       412, 3.360000000E-05,-2.490000000E-05, 2.668021682E-04
       413, 3.380000000E-05,-2.490000000E-05, 2.670016453E-04
       414, 3.400000000E-05,-2.490000000E-05, 2.671936464E-04
       415, 3.420000000E-05,-2.490000000E-05, 2.673815638E-04
       416, 3.440000000E-05,-2.490000000E-05, 2.675672116E-04
       417, 3.460000000E-05,-2.490000000E-05, 2.677501456E-04
       418, 3.480000000E-05,-2.490000000E-05, 2.679279141E-04
       419, 3.500000000E-05,-2.490000000E-05, 2.680928496E-04
       420, 3.520000000E-05,-2.490103107E-05, 2.682513624E-04
       421, 3.540000001E-05,-2.490182780E-05, 2.683223012E-04
